FInicio|Factualización|paisId|nombrePais|paisActivo
6/11/2020|6/11/2020|IOT|TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO|true
6/11/2020|6/11/2020|IRL|IRLANDA|true
6/11/2020|6/11/2020|IRN|IRÁN|true
6/11/2020|6/11/2020|IRQ|IRAK|true
6/11/2020|6/11/2020|ISL|ISLANDIA|true
6/11/2020|6/11/2020|ISR|ISRAEL|true
6/11/2020|6/11/2020|ITA|ITALIA|true
6/11/2020|6/11/2020|JAM|JAMAICA|true
6/11/2020|6/11/2020|JEY|JERSEY|true
6/11/2020|6/11/2020|JOR|JORDANIA|true
6/11/2020|6/11/2020|JPN|JAPÓN|true
6/11/2020|6/11/2020|KAZ|KAZAJISTÁN|true
6/11/2020|6/11/2020|KEN|KENIA|true
6/11/2020|6/11/2020|KGZ|KIRGUISTÁN|true
6/11/2020|6/11/2020|KHM|CAMBOYA|true
6/11/2020|6/11/2020|KIR|KIRIBATI|true
6/11/2020|6/11/2020|KNA|SAN CRISTÓBAL Y NIEVES|true
6/11/2020|6/11/2020|KOR|COREA DEL SUR|true
6/11/2020|6/11/2020|KWT|KUWAIT|true
6/11/2020|6/11/2020|LAO|LAOS|true
6/11/2020|6/11/2020|LBN|LÍBANO|true
6/11/2020|6/11/2020|LBR|LIBERIA|true
6/11/2020|6/11/2020|LBY|LIBIA|true
6/11/2020|6/11/2020|LCA|SANTA LUCÍA|true
6/11/2020|6/11/2020|LIE|LIECHTENSTEIN|true
6/11/2020|6/11/2020|LKA|SRI LANKA|true
6/11/2020|6/11/2020|LSO|LESOTO|true
6/11/2020|6/11/2020|LTU|LITUANIA|true
6/11/2020|6/11/2020|LUX|LUXEMBURGO|true
6/11/2020|6/11/2020|LVA|LETONIA|true
6/11/2020|6/11/2020|MAC|MACAO|true
6/11/2020|6/11/2020|MAF|SAN MARTÍN|true
6/11/2020|6/11/2020|MAR|MARRUECOS|true
6/11/2020|6/11/2020|MCO|MÓNACO|true
6/11/2020|6/11/2020|MDA|MOLDAVIA|true
6/11/2020|6/11/2020|MDG|MADAGASCAR|true
6/11/2020|6/11/2020|MDV|MALDIVAS|true
6/11/2020|6/11/2020|MEX|MÉXICO|true
6/11/2020|6/11/2020|MHL|ISLAS MARSHALL|true
6/11/2020|6/11/2020|MKD|MACEDONIA|true
6/11/2020|6/11/2020|MLI|MALÍ|true
6/11/2020|6/11/2020|MLT|MALTA|true
6/11/2020|6/11/2020|MMR|MYANMAR|true
6/11/2020|6/11/2020|MNE|MONTENEGRO|true
6/11/2020|6/11/2020|MNG|MONGOLIA|true
6/11/2020|6/11/2020|MNP|ISLAS MARIANAS DEL NORTE|true
6/11/2020|6/11/2020|MOZ|MOZAMBIQUE|true
6/11/2020|6/11/2020|MRT|MAURITANIA|true
6/11/2020|6/11/2020|MSR|MONTSERRAT|true
6/11/2020|6/11/2020|MTQ|MARTINICA|true
6/11/2020|6/11/2020|MUS|MAURICIO|true
6/11/2020|6/11/2020|MWI|MALAUI|true
6/11/2020|6/11/2020|MYS|MALASIA|true
6/11/2020|6/11/2020|MYT|MAYOTTE|true
6/11/2020|6/11/2020|NAM|NAMIBIA|true
6/11/2020|6/11/2020|NCL|NUEVA CALEDONIA|true
6/11/2020|6/11/2020|NER|NÍGER|true
6/11/2020|6/11/2020|NFK|ISLA NORFOLK|true
6/11/2020|6/11/2020|NGA|NIGERIA|true
6/11/2020|6/11/2020|NIC|NICARAGUA|true
6/11/2020|6/11/2020|NIU|NIUE|true
6/11/2020|6/11/2020|NLD|PAÍSES BAJOS|true
6/11/2020|6/11/2020|NOR|NORUEGA|true
6/11/2020|6/11/2020|NPL|NEPAL|true
6/11/2020|6/11/2020|NRU|NAURU|true
6/11/2020|6/11/2020|NZL|NUEVA ZELANDA|true
6/11/2020|6/11/2020|OMN|OMÁN|true
6/11/2020|6/11/2020|PAK|PAKISTÁN|true
